"","animal","ID","lac12","lac_wk.","yearwk","yearmo","DIM","ch4clean","dfpcm","Sire","Dam"
"214","PL005227672528","PL005227672528",1,15,"2016--27","2016--07",110,435.605844817069,30.447152,"US138929709","PL005306321200"
"215","PL005227672528","PL005227672528",1,23,"2016--34","2016--08",162,328.725282319077,27.272326,"US138929709","PL005306321200"
"216","PL005227672528","PL005227672528",1,19,"2016--30","2016--07",135,363.585185491263,30.015321,"US138929709","PL005306321200"
"217","PL005227672528","PL005227672528",1,15,"2016--27","2016--07",109,336.655509725082,31.379286,"US138929709","PL005306321200"
"218","PL005227672528","PL005227672528",1,18,"2016--30","2016--07",131,360.028567027169,28.359828,"US138929709","PL005306321200"
"219","PL005227672528","PL005227672528",1,12,"2016--23","2016--06",85,380.956129617649,31.982992,"US138929709","PL005306321200"
"220","PL005227672528","PL005227672528",1,11,"2016--22","2016--06",80,387.314464349765,33.078154,"US138929709","PL005306321200"
"221","PL005227672528","PL005227672528",1,10,"2016--22","2016--06",76,410.458912559725,32.251873,"US138929709","PL005306321200"
"222","PL005227672528","PL005227672528",1,17,"2016--28","2016--07",120,452.938491897437,30.087945,"US138929709","PL005306321200"
"223","PL005227672528","PL005227672528",1,23,"2016--35","2016--08",166,384.716767003464,28.33831,"US138929709","PL005306321200"
"224","PL005227672528","PL005227672528",1,23,"2016--35","2016--08",167,354.975732734978,29.935992,"US138929709","PL005306321200"
"225","PL005227672528","PL005227672528",1,19,"2016--30","2016--07",136,333.805291438613,29.323737,"US138929709","PL005306321200"
