"","animal","ID","lac12","lac_wk.","yearwk","yearmo","DIM","ch4clean","dfpcm"
"755","PL005349224490","PL005349224490",1,9,"2016--09","2016--03",64,484.869390776428,38.202066
"758","PL005251904633","PL005251904633",1,9,"2016--10","2016--03",64,576.83294909915,40.500291
"761","PL005368235101","PL005368235101",1,9,"2016--11","2016--03",64,423.737333550169,23.801324
"762","PL005349224353","PL005349224353",1,9,"2016--06","2016--02",65,562.190442919434,42.158634
"767","PL005251904671","PL005251904671",1,9,"2016--09","2016--03",65,444.916740423314,34.017867
"769","PL005251904633","PL005251904633",1,9,"2016--10","2016--03",65,590.301885161786,41.66973
"773","PL005349224353","PL005349224353",1,9,"2016--06","2016--02",66,458.897594607262,41.677854
"776","PL005349224667","PL005349224667",1,9,"2016--08","2016--02",66,444.571682320507,30.689467
"779","PL005349224490","PL005349224490",1,9,"2016--09","2016--03",66,496.689791686747,39.60585
"780","PL005368235040","PL005368235040",1,9,"2016--09","2016--03",66,561.034026522426,36.853635
"783","PL005251904671","PL005251904671",1,9,"2016--10","2016--03",66,450.82100304908,34.13893
"786","PL005349224353","PL005349224353",1,9,"2016--06","2016--02",67,567.466711111023,42.191279
"789","PL005349224667","PL005349224667",1,9,"2016--08","2016--02",67,516.195914581998,29.059056
"793","PL005349224490","PL005349224490",1,9,"2016--09","2016--03",67,506.590805994364,39.505413
"794","PL005368235040","PL005368235040",1,9,"2016--09","2016--03",67,503.493489080265,36.11916
"795","PL005251904633","PL005251904633",1,9,"2016--10","2016--03",67,527.99007915,41.32296
"796","PL005251904671","PL005251904671",1,9,"2016--10","2016--03",67,491.199345875899,35.198436
"802","PL005349224667","PL005349224667",1,9,"2016--09","2016--02",68,401.873357638401,29.117792
"804","PL005368235040","PL005368235040",1,9,"2016--09","2016--03",68,538.605828409012,35.417542
"808","PL005251904671","PL005251904671",1,9,"2016--10","2016--03",68,450.494484473898,30.977498
"813","PL005251904633","PL005251904633",1,9,"2016--11","2016--03",68,563.020567467613,41.58132
"815","PL005349224353","PL005349224353",1,9,"2016--07","2016--02",69,618.962837097309,43.411204
"817","PL005349224490","PL005349224490",1,9,"2016--09","2016--03",69,418.089810353128,39.367871
"818","PL005349224667","PL005349224667",1,9,"2016--09","2016--03",69,367.687804404348,29.271672
"819","PL005368235040","PL005368235040",1,9,"2016--09","2016--03",69,553.312821967303,34.809303
"823","PL005251904671","PL005251904671",1,9,"2016--10","2016--03",69,470.096311206559,32.14988
