nummer,naam stier,gebjr,run nummer,basis,kicode,owner,base,rel NVI,NVI,source production,rel Inet,dochters productie,milk,fat,protein,lactose,rel milk,rel fat,rel prot,rel lact,source dmi,daughters dmi,rel dmi direct,rel dmi incl voorspellers,rel bvo,rel bvk,dmi direct,dmi incl voorspellers,FSM,FSCM,bvo obv selectieindex,rel bvo new,diff bvo
HOLFRAM002921633405,HENITO,2012,241,1,768015,IM53,2024HC,86,-106,E,93,76,-628,-18,-9,-20,95,95,93,95,E,0,50,75,58,58,-78,-103,39,38,36,58,3
HOLNLDM000733211506,INNER FIELD ELMER,2010,241,1,940460,CO60,2024HC,91,-75,E,97,201,-1073,-22,-25,-42,98,98,97,98,E,1,51,76,60,60,-115,-158,50,49,51,60,-1
HOLNLDM000573352412,LOWLANDS TRUST,2017,241,1,941936,CO60,2024HC,93,160,E,98,523,1436,27,43,65,98,98,98,98,E,4,56,78,63,63,54,110,48,47,18,63,30
HOLNLDM000663104097,DELTA JONAS,2013,241,1,941308,CO60,2024HC,91,-1,E,97,228,-579,17,-1,-22,98,98,97,97,E,0,51,76,60,60,24,74,-59,-57,-53,60,-6
HOLNLDM000543413633,OELHORST TRY,2011,241,1,940621,CO60,2024HC,92,-125,E,97,203,-106,-37,-15,-12,98,98,97,98,E,0,54,77,61,61,-26,-119,16,16,28,61,-12
HOLNLDM000843592939,VERO ANCHORMAN,2012,241,1,941036,CO60,2024HC,96,-68,E,99,1344,388,8,11,21,99,99,99,99,E,4,60,79,64,64,118,96,-50,-49,-44,64,-6
HOLFRAM000801948931,HIGH MAN,2012,241,1,768567,IM53,2024HC,81,6,J,85,0,714,15,11,37,89,88,85,87,J,0,48,74,55,55,-30,-3,78,76,53,55,25
HOLDEUM000953021002,RHO PEPPER,2017,241,1,781878,IM03,2024HC,77,92,J,89,0,662,28,21,18,92,91,89,89,J,0,47,74,55,55,-53,11,85,82,50,55,35
HOLNLDM000753178663,AZ CREAM,2012,241,1,941069,CO60,2024HC,91,-153,E,96,188,-922,2,-14,-45,97,97,96,97,E,0,52,77,61,61,42,18,-67,-65,-53,61,-14
HOLNLDM000613528230,SKRINSER RUBEN,2023,241,1,391133,KI39,2024HC,70,255,G,76,0,1437,42,56,72,82,81,76,75,G,0,48,73,51,51,40,200,9,9,-2,51,11
HOLNLDM000743370088,VENERIETE DELUXE P,2011,241,1,940639,CO60,2024HC,94,-67,E,98,363,-648,-23,-24,-24,99,99,98,99,E,6,61,79,64,64,-25,-55,-39,-38,-15,64,-24
HOLNLDM000763177740,IBINK,2014,241,1,82986,,2024HC,76,9,G,83,0,-152,-11,-7,-10,87,86,83,80,G,0,49,74,54,54,53,11,-50,-49,-33,54,-17
HOLCANM000105753020,COMESTAR LEMUST,2009,241,1,768221,IM75,2024HC,86,-105,J,90,0,285,-21,-8,10,94,92,90,90,J,0,51,76,58,58,54,-18,-26,-25,-11,58,-15
HOLNLDM000443170551,DELTA OCEAN,2006,241,1,977998,CO60,2024HC,92,-151,E,97,178,-918,-34,-27,-46,97,97,97,97,E,0,55,77,61,61,-51,-154,15,15,27,61,-12
HOLDEUM000364300420,RICHARD P,2022,241,1,785451,IM74,2024HC,67,256,G,73,0,1668,86,55,81,81,79,73,74,G,0,47,72,50,50,147,298,9,9,-13,50,22
HOLNLDM000763988957,PLATAAN KJELD,2018,241,1,39929,KI39,2024HC,84,48,E,91,150,395,50,13,20,94,93,91,94,E,0,48,75,57,57,71,124,11,11,-9,57,20
HOLNLDM000623245666,DROUNER ARMIN,2021,241,1,391066,KI39,2024HC,76,148,G,81,0,321,27,23,31,86,85,81,79,G,0,53,75,54,54,-5,87,20,19,7,54,13
HOLNLDM000543311577,DE VRENDT HERCULES P,2010,241,1,940546,CO60,2024HC,91,-63,E,96,169,-764,-11,-7,-31,97,97,96,97,E,3,55,77,61,61,-80,-95,38,37,31,61,7
